hour_of_year,month,hour,lrmer_co2e_c,synthetic
266,1,2,314.4231727330503,False
267,1,3,316.28324315449163,False
268,1,4,317.3575603691424,False
269,1,5,315.7404423746368,False
270,1,6,310.94451838650144,False
271,1,7,227.49207780773082,False
272,1,8,180.23719697095333,False
273,1,9,181.11046627629355,False
274,1,10,187.01889146747556,False
275,1,11,187.11180398711753,False
276,1,12,193.6221677506387,False
277,1,13,173.7295454952311,False
278,1,14,173.55188460897455,False
279,1,15,173.800436462698,False
280,1,16,223.33939000597715,False
281,1,17,310.29574977847113,False
282,1,18,319.0482866142592,False
283,1,19,318.40640155830874,False
284,1,20,312.5766607537096,False
285,1,21,304.7167902848796,False
286,1,22,303.89478620000364,False
287,1,23,313.74427787087683,False
288,1,0,316.1346014972296,False
289,1,1,315.7844206456894,False
290,1,2,314.4231727330503,False
291,1,3,316.28324315449163,False
292,1,4,317.3575603691424,False
293,1,5,315.7404423746368,False
294,1,6,310.94451838650144,False
295,1,7,227.49207780773082,False
296,1,8,180.23719697095333,False
297,1,9,181.11046627629355,False
298,1,10,187.01889146747556,False
299,1,11,187.11180398711753,False
300,1,12,193.6221677506387,False
301,1,13,173.7295454952311,False
302,1,14,173.55188460897455,False
303,1,15,173.800436462698,False
304,1,16,223.33939000597715,False
305,1,17,310.29574977847113,False
306,1,18,319.0482866142592,False
307,1,19,318.40640155830874,False
308,1,20,312.5766607537096,False
309,1,21,304.7167902848796,False
310,1,22,303.89478620000364,False
311,1,23,313.74427787087683,False
312,1,0,316.1346014972296,False
313,1,1,315.7844206456894,False
314,1,2,314.4231727330503,False
315,1,3,316.28324315449163,False
316,1,4,317.3575603691424,False
317,1,5,315.7404423746368,False
318,1,6,310.94451838650144,False
319,1,7,227.49207780773082,False
320,1,8,180.23719697095333,False
321,1,9,181.11046627629355,False
322,1,10,187.01889146747556,False
323,1,11,187.11180398711753,False
324,1,12,193.6221677506387,False
325,1,13,173.7295454952311,False
326,1,14,173.55188460897455,False
327,1,15,173.800436462698,False
328,1,16,223.33939000597715,False
329,1,17,310.29574977847113,False
330,1,18,319.0482866142592,False
331,1,19,318.40640155830874,False
332,1,20,312.5766607537096,False
333,1,21,304.7167902848796,False
334,1,22,303.89478620000364,False
335,1,23,313.74427787087683,False
336,1,0,316.1346014972296,False
337,1,1,315.7844206456894,False
338,1,2,314.4231727330503,False
339,1,3,316.28324315449163,False
340,1,4,317.3575603691424,False
341,1,5,315.7404423746368,False
342,1,6,310.94451838650144,False
343,1,7,227.49207780773082,False
344,1,8,180.23719697095333,False
345,1,9,181.11046627629355,False
346,1,10,187.01889146747556,False
347,1,11,187.11180398711753,False
348,1,12,193.6221677506387,False
349,1,13,173.7295454952311,False
350,1,14,173.55188460897455,False
351,1,15,173.800436462698,False
352,1,16,223.33939000597715,False
353,1,17,310.29574977847113,False
354,1,18,319.0482866142592,False
355,1,19,318.40640155830874,False
356,1,20,312.5766607537096,False
357,1,21,304.7167902848796,False
358,1,22,303.89478620000364,False
359,1,23,313.74427787087683,False
360,1,0,316.1346014972296,False
361,1,1,315.7844206456894,False
362,1,2,314.4231727330503,False
363,1,3,316.28324315449163,False
364,1,4,317.3575603691424,False
365,1,5,315.7404423746368,False
366,1,6,310.94451838650144,False
367,1,7,227.49207780773082,False
368,1,8,180.23719697095333,False
369,1,9,181.11046627629355,False
370,1,10,187.01889146747556,False
371,1,11,187.11180398711753,False
372,1,12,193.6221677506387,False
373,1,13,173.7295454952311,False
374,1,14,173.55188460897455,False
375,1,15,173.800436462698,False
376,1,16,223.33939000597715,False
377,1,17,310.29574977847113,False
378,1,18,319.0482866142592,False
379,1,19,318.40640155830874,False
380,1,20,312.5766607537096,False
381,1,21,304.7167902848796,False
382,1,22,303.89478620000364,False
383,1,23,313.74427787087683,False
384,1,0,316.1346014972296,False
385,1,1,315.7844206456894,False
386,1,2,314.4231727330503,False
387,1,3,316.28324315449163,False
388,1,4,317.3575603691424,False
389,1,5,315.7404423746368,False
390,1,6,310.94451838650144,False
391,1,7,227.49207780773082,False
392,1,8,180.23719697095333,False
393,1,9,181.11046627629355,False
394,1,10,187.01889146747556,False
395,1,11,187.11180398711753,False
396,1,12,193.6221677506387,False
397,1,13,173.7295454952311,False
398,1,14,173.55188460897455,False
399,1,15,173.800436462698,False
400,1,16,223.33939000597715,False
401,1,17,310.29574977847113,False
402,1,18,319.0482866142592,False
403,1,19,318.40640155830874,False
404,1,20,312.5766607537096,False
405,1,21,304.7167902848796,False
406,1,22,303.89478620000364,False
407,1,23,313.74427787087683,False
408,1,0,316.1346014972296,False
409,1,1,315.7844206456894,False
410,1,2,314.4231727330503,False
411,1,3,316.28324315449163,False
412,1,4,317.3575603691424,False
413,1,5,315.7404423746368,False
414,1,6,310.94451838650144,False
415,1,7,227.49207780773082,False
416,1,8,180.23719697095333,False
417,1,9,181.11046627629355,False
418,1,10,187.01889146747556,False
419,1,11,187.11180398711753,False
420,1,12,193.6221677506387,False
421,1,13,173.7295454952311,False
422,1,14,173.55188460897455,False
423,1,15,173.800436462698,False
424,1,16,223.33939000597715,False
425,1,17,310.29574977847113,False
426,1,18,319.0482866142592,False
427,1,19,318.40640155830874,False
428,1,20,312.5766607537096,False
429,1,21,304.7167902848796,False
430,1,22,303.89478620000364,False
431,1,23,313.74427787087683,False
432,1,0,316.1346014972296,False
433,1,1,315.7844206456894,False
434,1,2,314.4231727330503,False
435,1,3,316.28324315449163,False
436,1,4,317.3575603691424,False
437,1,5,315.7404423746368,False
438,1,6,310.94451838650144,False
439,1,7,227.49207780773082,False
440,1,8,180.23719697095333,False
441,1,9,181.11046627629355,False
442,1,10,187.01889146747556,False
443,1,11,187.11180398711753,False
444,1,12,193.6221677506387,False
445,1,13,173.7295454952311,False
446,1,14,173.55188460897455,False
447,1,15,173.800436462698,False
448,1,16,223.33939000597715,False
449,1,17,310.29574977847113,False
450,1,18,319.0482866142592,False
451,1,19,318.40640155830874,False
452,1,20,312.5766607537096,False
453,1,21,304.7167902848796,False
454,1,22,303.89478620000364,False
455,1,23,313.74427787087683,False
456,1,0,316.1346014972296,False
457,1,1,315.7844206456894,False
458,1,2,314.4231727330503,False
459,1,3,316.28324315449163,False
460,1,4,317.3575603691424,False
461,1,5,315.7404423746368,False
462,1,6,310.94451838650144,False
463,1,7,227.49207780773082,False
464,1,8,180.23719697095333,False
465,1,9,181.11046627629355,False
466,1,10,187.01889146747556,False
467,1,11,187.11180398711753,False
468,1,12,193.6221677506387,False
469,1,13,173.7295454952311,False
470,1,14,173.55188460897455,False
471,1,15,173.800436462698,False
472,1,16,223.33939000597715,False
473,1,17,310.29574977847113,False
474,1,18,319.0482866142592,False
475,1,19,318.40640155830874,False
476,1,20,312.5766607537096,False
477,1,21,304.7167902848796,False
478,1,22,303.89478620000364,False
479,1,23,313.74427787087683,False
480,1,0,316.1346014972296,False
481,1,1,315.7844206456894,False
482,1,2,314.4231727330503,False
483,1,3,316.28324315449163,False
484,1,4,317.3575603691424,False
485,1,5,315.7404423746368,False
486,1,6,310.94451838650144,False
487,1,7,227.49207780773082,False
488,1,8,180.23719697095333,False
489,1,9,181.11046627629355,False
490,1,10,187.01889146747556,False
491,1,11,187.11180398711753,False
492,1,12,193.6221677506387,False
493,1,13,173.7295454952311,False
494,1,14,173.55188460897455,False
495,1,15,173.800436462698,False
496,1,16,223.33939000597715,False
497,1,17,310.29574977847113,False
498,1,18,319.0482866142592,False
499,1,19,318.40640155830874,False
500,1,20,312.5766607537096,False
501,1,21,304.7167902848796,False
502,1,22,303.89478620000364,False
503,1,23,313.74427787087683,False
504,1,0,316.1346014972296,False
505,1,1,315.7844206456894,False
506,1,2,314.4231727330503,False
507,1,3,316.28324315449163,False
508,1,4,317.3575603691424,False
509,1,5,315.7404423746368,False
510,1,6,310.94451838650144,False
511,1,7,227.49207780773082,False
512,1,8,180.23719697095333,False
513,1,9,181.11046627629355,False
514,1,10,187.01889146747556,False
515,1,11,187.11180398711753,False
516,1,12,193.6221677506387,False
517,1,13,173.7295454952311,False
518,1,14,173.55188460897455,False
519,1,15,173.800436462698,False
520,1,16,223.33939000597715,False
521,1,17,310.29574977847113,False
522,1,18,319.0482866142592,False
523,1,19,318.40640155830874,False
524,1,20,312.5766607537096,False
525,1,21,304.7167902848796,False
526,1,22,303.89478620000364,False
527,1,23,313.74427787087683,False
528,1,0,316.1346014972296,False
529,1,1,315.7844206456894,False
530,1,2,314.4231727330503,False
531,1,3,316.28324315449163,False
532,1,4,317.3575603691424,False
533,1,5,315.7404423746368,False
534,1,6,310.94451838650144,False
535,1,7,227.49207780773082,False
536,1,8,180.23719697095333,False
537,1,9,181.11046627629355,False
538,1,10,187.01889146747556,False
539,1,11,187.11180398711753,False
540,1,12,193.6221677506387,False
541,1,13,173.7295454952311,False
542,1,14,173.55188460897455,False
543,1,15,173.800436462698,False
544,1,16,223.33939000597715,False
545,1,17,310.29574977847113,False
546,1,18,319.0482866142592,False
547,1,19,318.40640155830874,False
548,1,20,312.5766607537096,False
549,1,21,304.7167902848796,False
550,1,22,303.89478620000364,False
551,1,23,313.74427787087683,False
552,1,0,316.1346014972296,False
553,1,1,315.7844206456894,False
554,1,2,314.4231727330503,False
555,1,3,316.28324315449163,False
556,1,4,317.3575603691424,False
557,1,5,315.7404423746368,False
558,1,6,310.94451838650144,False
559,1,7,227.49207780773082,False
560,1,8,180.23719697095333,False
561,1,9,181.11046627629355,False
562,1,10,187.01889146747556,False
563,1,11,187.11180398711753,False
564,1,12,193.6221677506387,False
565,1,13,173.7295454952311,False
